Client_ID,Name,Age,Location ID,Joined Bank,Banking Contact,Nationality,Occupation,Fee Structure,Loyalty Classification,Estimated Income,Superannuation Savings,Amount of Credit Cards,Credit Card Balance,Bank Loans,Bank Deposits,Checking Accounts,Saving Accounts,Foreign Currency Account,Business Lending,Properties Owned,Risk Weighting,BRId,GenderId,IAId,Income Band,Loan_to_Deposit_Ratio,CC_Utilization,Savings_Loan_Ratio,Income_Loan_Ratio,High_Loan_Flag,Low_Income_Flag,High_CC_Usage_Flag,Defaulter
IND76263,Amy Martinez,55,40459,2014-10-18,Adam Hernandez,European,Administrative Officer,High,Jade,74966.51,16928.73,1,493.32,214327.82,37979.77,19335.16,52204.92,10539.79,353119.93,3,1,3,1,11,low,5.643209907716401,0.006580538341980461,0.17720410641416448,0.3497749832486749,1,0,0,1
IND56452,David Johnston,73,25563,2005-09-12,Chris Armstrong,American,Database Administrator II,Mid,Jade,111449.06,17480.19,2,392.59,580468.51,749007.94,204991.65,513425.24,22904.91,294397.85,0,2,3,2,12,mid,0.7749831186369225,0.0035225958521086145,1.2903506836394092,0.19199845967182877,0,0,0,0
IND28766,Wayne Foster,45,35687,2018-03-17,Joshua Ryan,African,Staff Scientist,Low,Silver,115637.19,10848.6,1,5055.31,815250.64,616330.93,208277.35,138738.22,6336.65,972455.46,3,1,3,2,13,mid,1.32274821689908,0.04371699066955025,0.7560017729565943,0.14184250117014013,1,0,0,0
IND17897,Carlos Moore,44,19554,1996-01-02,Paul Larson,American,Programmer I,High,Jade,124434.78,26146.0,2,5211.37,984792.5,802862.97,263714.11,174051.32,68855.49,835554.83,0,2,3,2,14,mid,1.2266009712384656,0.04188033247713917,0.815261051627362,0.12635634397463796,1,0,0,0
IND86325,Lisa Johnston,36,33368,2020-06-05,Mark Montgomery,Asian,Software Test Engineer I,High,Platinum,260795.34,11584.68,1,2866.34,310876.62,116399.86,69072.45,67077.02,48101.13,1136169.3,1,2,3,1,15,mid,2.6707645295212163,0.01099076382656698,0.37442461779716785,0.8389030322096817,1,0,0,0
IND74197,Andrew Mills,55,27913,2021-01-06,Shawn Wallace,European,Actuary,Mid,Silver,78892.52,32369.71,1,4882.13,1510860.64,317542.21,134344.78,71284.16,20708.55,2283081.57,3,2,3,1,16,low,4.75798362441962,0.061883305769884066,0.21017306387028983,0.05221694037100806,1,0,0,1
IND28503,Jack Coleman,61,9505,2014-06-22,Ernest Rivera,Asian,Staff Accountant II,High,Silver,257120.22,16263.99,1,8614.06,436988.44,2047305.69,1273391.23,253337.83,80698.26,1128082.14,1,3,4,2,17,mid,0.21344562364135977,0.033502071390954506,4.685033968667377,0.58839135289622,0,0,0,0
IND56539,Aaron Day,56,36232,2020-01-19,Gregory Simmons,Asian,Assistant Media Planner,Low,Jade,145704.55,3078.27,1,1895.06,384153.37,55118.87,25590.9,64095.37,10492.37,199617.82,3,1,4,2,18,mid,6.969543516230584,0.013006182627747847,0.14348141695729127,0.37928744350391236,1,0,0,1
IND53604,Kevin Weaver,43,6299,2019-03-31,Frank Brown,American,Staff Accountant I,Low,Jade,34404.16,19668.4,2,5384.7,1102836.16,204450.83,89694.56,35877.82,22452.06,1115542.44,3,1,3,2,19,low,5.394138799073896,0.1565130450354537,0.18538640391933975,0.031196075370618907,1,1,0,1
IND32064,Mary Fox,63,7694,2009-03-09,Adam Hernandez,Australian,Compensation Analyst,Mid,Jade,129060.88,17283.63,1,395.58,1000409.32,966281.34,472404.21,396819.54,37271.05,1631986.9,2,4,1,2,20,mid,1.035318884420019,0.003065065083508921,0.9658859825837228,0.12900807428602518,1,0,0,0
IND72934,Carlos Little,41,38321,2020-04-03,Jonathan Hawkins,American,Geologist I,Low,Jade,129981.31,10242.84,2,2383.86,373846.69,38406.8,11024.17,25028.43,24422.1,441603.53,2,1,2,1,21,mid,7.713310880310036,0.018340021205048473,0.10273409107157244,0.347686132120934,1,0,0,1
IND16101,Roger Boyd,58,12772,2015-12-31,Adam Hernandez,European,Web Designer II,High,Jade,123545.42,2984.52,1,2789.44,1400623.12,547459.74,324420.58,42985.73,31481.78,1255331.52,3,2,3,2,22,mid,2.5584038699203635,0.022578254842807975,0.3908687010743699,0.08820746862424528,1,0,0,0
IND93121,Aaron Marshall,26,28661,2013-01-14,Ernest Rivera,American,Media Manager IV,Mid,Jade,308182.93,64332.66,1,4458.61,649331.84,103871.63,77431.58,133711.12,12045.07,176113.98,0,5,4,2,1,high,6.2512914618621895,0.014467413836102429,0.1599669436201266,0.4746154593703345,1,0,0,1
IND93310,Cheryl Stewart,21,8767,2021-05-23,Victor Martinez,European,Accounting Assistant II,High,Gold,122579.41,10312.54,1,4959.36,963017.56,1115098.09,368467.2,721419.98,11782.22,861771.26,1,2,1,1,2,mid,0.8636169030980791,0.04045834418310265,1.1579208263264473,0.12728678579102254,0,0,0,0
IND71301,Anne Nguyen,41,14954,2021-09-19,Joshua Ryan,American,Programmer II,High,Jade,30942.07,4469.98,1,3338.64,276532.77,132960.52,108193.36,22381.69,23955.9,622223.7,0,1,1,2,3,low,2.0798111192720135,0.10789969423830745,0.4808128870917798,0.11189295897230206,1,1,0,0
IND21279,Christopher Evans,36,24058,2013-03-20,Adam Hernandez,European,Administrative Assistant IV,High,Jade,50651.56,8097.25,3,509.21,278071.37,302540.6,94771.75,153748.94,16732.39,430027.77,3,1,1,2,4,low,0.9191208356196795,0.01005319460934284,1.0879962180644622,0.1821530919125076,0,0,0,0
IND98618,Maria Clark,34,8623,2014-01-29,Joe Hanson,Asian,Help Desk Operator,High,Silver,482930.15,69381.0,2,9458.98,1469913.23,1724818.3,507299.5,1168238.27,75592.25,2143826.06,0,4,2,1,8,high,0.8522133775759375,0.019586642044223907,1.1734150449319958,0.32854330433603673,0,0,0,0
IND35589,Jimmy Simpson,52,38270,2018-01-08,George Lewis,European,Geological Engineer,High,Jade,87019.73,11316.5,2,1253.68,273944.56,192711.78,54150.42,73580.86,21530.91,772573.6,1,1,2,2,9,low,1.4215247172667664,0.014406847568857689,0.7034699988075325,0.31765452718734577,1,0,0,0
IND40198,Louise Sanders,78,29119,2005-05-24,Shawn Cook,European,Junior Executive,Low,Jade,246615.84,35332.0,3,5835.26,622181.88,765153.59,552072.84,308192.24,29778.58,1078308.29,0,3,3,2,10,mid,0.8131463895854604,0.023661334877510973,1.2297908591780413,0.3963725841768767,0,0,0,0
IND49616,Angela Alvarez,34,31338,2016-08-22,Patrick Graham,Australian,Biostatistician IV,Low,Jade,130023.36,15464.38,1,219.19,366887.14,447804.62,221138.08,271999.84,31010.83,787555.56,0,1,3,1,11,mid,0.8193018177898616,0.0016857739894910115,1.2205514174725465,0.35439606753620184,0,0,0,0
IND55475,Henry Grant,75,21778,2013-04-06,Anthony Simpson,European,Software Test Engineer I,Low,Jade,82703.81,8635.67,2,8521.8,842201.38,2047305.69,990288.08,424345.83,32253.44,272858.21,3,4,3,1,12,low,0.4113706046450882,0.10303999171211106,2.430898044324152,0.09819956588268762,0,0,0,0
IND61272,Larry Foster,47,34773,2020-12-10,Raymond Alexander,European,Internal Auditor,High,Gold,137256.09,18322.92,2,1050.56,1035297.66,976553.21,180073.64,471515.9,34284.83,469532.28,0,1,3,2,13,mid,1.0601548879654443,0.007654013693279375,0.9432583949400035,0.13257645136319882,1,0,0,0
IND33884,Carol GoPKRalez,34,29287,2021-05-29,Carl Nguyen,European,Chemical Engineer,High,Platinum,224640.75,57090.72,3,3550.74,1091959.45,828226.52,532945.76,127330.83,61733.24,454281.87,1,3,3,1,14,mid,1.3184309151095148,0.015806303995128647,0.758477358515028,0.20572261158074817,1,0,0,0
IND53121,Timothy Stanley,79,29278,2021-02-15,Joshua Little,American,Accountant III,High,Jade,147292.91,24297.42,1,4097.62,105266.65,187826.4,35438.94,70287.24,7805.91,1112746.46,3,1,3,2,15,mid,0.5604465050682625,0.02781953301201305,1.784291589175759,1.3992362120459214,0,0,0,0
IND25680,Billy Wilson,73,99,2017-09-25,Dennis Morris,European,Registered Nurse,High,Platinum,263248.97,47651.76,2,7069.16,693956.23,1420246.29,554930.67,235234.17,1624.19,2518271.85,3,3,3,2,1,mid,0.4886168225874282,0.026853514272616095,2.046593468803366,0.3793452068593069,0,0,0,0
IND55454,Kathleen Riley,80,20746,2017-11-28,Benjamin Kim,European,Cost Accountant,Low,Jade,193690.93,11655.54,2,3610.42,50809.39,342138.31,255463.27,174627.4,4469.13,626121.9,2,2,4,1,2,mid,0.14850540955642935,0.01864010865846889,6.733761284405082,3.8121088678272095,0,0,0,0
IND96454,Bobby Jenkins,73,15809,2014-03-05,Nicholas Cunningham,European,Developer IV,Low,Gold,91243.05,37750.72,3,6660.85,122158.61,2047305.69,639548.78,1273038.67,12504.17,411062.27,2,3,4,2,3,low,0.0596679873147483,0.07300117572789187,16.759405442159128,0.7469227854923792,0,0,0,0
IND14292,Arthur Burns,51,30376,2005-12-13,Shawn Long,Asian,Accounting Assistant II,Low,Platinum,162807.39,70394.4,1,811.96,709300.71,1667444.17,517118.76,274495.08,2337.77,270162.94,2,4,3,1,4,mid,0.4253819841983783,0.004987242870319076,2.350828279375572,0.2295322526470723,0,0,0,0
IND67206,Lawrence Richardson,49,38915,2012-01-13,Anthony Simpson,European,Junior Executive,Mid,Gold,193729.94,44815.46,2,2062.15,66053.91,684295.05,337704.05,534461.09,47911.89,992911.86,2,3,1,2,5,mid,0.0965284052595026,0.010644456862762375,10.359644715057069,2.9329064254802413,0,0,0,0
IND90177,Julia Roberts,81,5659,2006-11-08,Victor Martinez,European,Software Engineer I,Mid,Platinum,131497.09,15962.66,1,3127.86,57219.9,725666.6,233012.21,506302.25,21798.32,498564.84,0,1,2,2,6,mid,0.07885150001550092,0.023786533802485414,12.682066681660285,2.2981006206214865,0,0,0,0
IND60970,Philip Fisher,27,28045,2001-12-23,Carl Nguyen,Asian,Accountant I,High,Gold,319205.91,49416.0,1,9.55,0.0,309361.94,360077.01,135307.81,17710.52,945483.98,3,4,3,1,7,high,0.0,2.9917992339433846e-05,309361940.0,319205909.99999994,0,0,0,0
IND24003,Jeffrey Taylor,56,16845,2020-02-28,Anthony Simpson,European,Automation Specialist IV,Mid,Silver,44088.51,32418.88,2,2795.52,1485747.33,396706.92,153723.93,55588.56,40504.26,717420.29,1,2,4,2,8,low,3.7452014354949963,0.06340699507860449,0.2670083342724174,0.0296742986375252,1,1,0,0
IND87800,Mark Mccoy,33,20816,2008-01-24,Patrick Graham,European,Biostatistician I,High,Silver,420683.66,24472.55,1,1011.56,820479.9,1818216.16,683649.27,886562.2,14157.73,1549847.59,1,3,1,1,9,high,0.45125542143940944,0.0024045621301180035,2.2160398539732173,0.5127287816401976,0,0,0,0
IND75987,Timothy Cook,79,30025,2006-12-11,Chris Armstrong,European,Nurse,Low,Jade,32062.52,19653.48,1,1612.82,231528.63,140280.05,170536.53,109748.51,5492.47,352732.73,0,1,1,2,10,low,1.6504743785700509,0.05030234522107603,0.6058864054700863,0.1384818795909522,1,1,0,0
IND70083,Larry Green,56,12219,2016-08-28,Benjamin Kim,European,Human Resources Manager,Mid,Jade,92487.65,23690.51,1,2199.18,560657.25,208470.98,49811.65,134675.95,5026.45,407139.68,2,1,1,1,11,low,2.689377904352069,0.023778093358647414,0.37183320045922313,0.164962907079213,1,0,0,0
IND31444,Edward Gordon,55,33457,2020-01-31,Victor Martinez,European,Analyst Programmer,Mid,Gold,130572.51,49441.92,1,3225.23,120782.42,370436.77,206472.95,264528.29,17000.19,854418.25,0,2,2,1,12,mid,0.32605407847051987,0.024700681447414302,3.0669758639794114,1.08105557844382,0,0,0,0
IND70450,Edward Evans,77,31049,2021-07-21,Gregory Simmons,Australian,Database Administrator III,High,Gold,54753.75,5311.0,1,1408.34,80386.11,11363.75,14158.11,4470.98,8745.72,390608.62,1,1,2,2,13,low,7.0739063184330595,0.025721342817225434,0.14136459468725884,0.6811344561748981,1,0,0,1
IND47520,Joseph Morrison,49,3444,2020-03-16,George Lewis,Australian,Web Designer III,Mid,Silver,180214.79,9226.35,2,587.71,791256.59,1988033.0,460993.16,783688.37,36763.45,1991318.1,2,2,3,2,14,mid,0.3980097863576662,0.0032611640628321128,2.5125010301493966,0.2277577110254997,0,0,0,0
IND69076,Kathy Wheeler,67,3711,1996-11-12,Anthony Torres,European,Senior Editor,High,Jade,52826.78,26160.46,2,2617.61,385480.43,295345.61,277114.4,86634.71,20544.7,71268.33,2,1,3,2,15,low,1.3051842168732957,0.04955081400852345,0.7661753652029096,0.1370414053521695,1,0,0,0
IND53190,Amy Sims,66,30998,2007-01-02,Joshua Bennett,European,Health Coach III,Low,Gold,43622.88,19416.4,1,229.9,39047.14,192729.77,87604.44,223391.32,16286.6,237137.34,0,1,3,1,16,low,0.20260045864943202,0.005270170028430722,4.935822830152917,1.117184994414828,0,1,0,0
IND58356,Sharon Warren,64,3113,2018-01-09,Phillip Peters,African,Web Developer I,Mid,Silver,142841.26,5405.0,1,3431.39,508939.36,527832.84,450589.01,171867.52,12316.33,542464.52,0,2,3,1,17,mid,0.9642055599189213,0.02402240064234661,1.0371232418787117,0.280664595717917,0,0,0,0
IND33691,Nicholas Gilbert,49,30551,2009-04-07,Douglas Tucker,African,Systems Administrator III,High,Silver,90437.66,12737.4,3,2830.36,573366.17,202406.32,101203.16,80786.52,9723.87,704110.0,2,2,3,1,18,low,2.8327483408979113,0.031296253891395974,0.35301406018947007,0.15773107060409391,1,0,0,0
IND20398,Melissa Miller,65,16593,2008-09-29,Jason Duncan,Australian,Biostatistician III,High,Jade,32301.47,5597.4,1,1751.42,310657.96,74293.47,64447.35,14035.2,13795.28,579453.83,1,1,3,1,19,low,4.181497456216577,0.05422106008732543,0.2391487723696223,0.1039776025569163,1,1,0,0
IND54314,Kevin Gomez,32,24168,2007-01-01,Jerry Green,European,Project Manager,Mid,Jade,293419.07,16443.25,1,4496.63,1714321.78,1490773.71,634781.07,281227.25,399.2,1633759.29,2,4,3,2,20,mid,1.1499543943862853,0.015324941165804455,0.8695997020643349,0.17115752319779926,1,0,0,0
IND74305,Ronald Larson,29,25730,1999-12-11,Bobby Burton,Australian,Software Engineer III,High,Gold,55011.84,14206.2,1,3955.06,479936.38,1209655.58,474674.98,299657.72,43547.8,698612.48,3,1,4,1,21,low,0.39675457009279075,0.07189470354209743,2.520449851039736,0.1146231921101226,0,0,0,0
IND37195,Christine Williams,31,10528,2015-04-16,Joshua Bennett,European,Engineer III,High,Jade,77971.46,7820.4,1,856.21,478157.92,61042.62,29222.53,25358.66,24984.35,487689.45,0,1,4,2,22,low,7.713310880310036,0.010981069086290431,0.1276620491245611,0.16306633556740768,1,0,0,1
IND52609,Angela Roberts,22,30762,2005-07-09,Nicholas Cunningham,European,Health Coach I,High,Jade,84111.51,18940.38,1,156.67,304608.18,130415.95,61947.58,84900.78,3455.22,356683.94,3,1,1,1,1,low,2.335666593421536,0.001862646362398602,0.4281432940240039,0.27613017392989847,1,0,0,0
IND26283,Joshua Hughes,58,95,2006-04-21,Shawn Cook,European,Human Resources Assistant I,High,Jade,98369.29,3050.25,1,1441.89,213195.07,376150.25,235795.68,198629.79,23821.78,312562.61,3,2,2,2,2,low,0.5667816768252004,0.014657928153614528,1.7643477789409119,0.46140508567386157,0,0,0,0
IND61913,Joshua Stephens,75,10119,2012-08-30,Samuel Fowler,American,Software Test Engineer II,High,Silver,243490.73,63872.76,1,5578.34,1045569.03,428657.45,214328.73,382765.89,32217.39,1105110.35,1,3,3,1,3,mid,2.439171481939317,0.02290986592011176,0.4099752740285591,0.23287867446410623,1,0,0,0
IND35876,Evelyn Ramirez,18,28105,2006-09-27,Frank Brown,American,Web Designer II,Mid,Jade,72431.34,34975.16,1,5303.5,1210753.08,205810.18,127568.29,29765.93,25402.35,1532523.47,0,2,4,1,4,low,5.8828629085166595,0.07322106600235387,0.16998526225513688,0.059823378636523164,1,0,0,1
IND19011,Lillian Burns,47,33271,2003-11-07,Paul Larson,European,Sales Associate,Mid,Silver,456003.99,25171.2,2,7969.46,1248952.37,1050537.35,674555.56,237200.27,71113.77,1347657.84,2,4,1,2,8,high,1.1888700280966975,0.01747673300517232,0.8411348377991911,0.3651091911814786,1,0,0,0
IND86703,Lillian Bell,41,11172,2018-02-16,Stephen Payne,European,Biostatistician I,High,Platinum,71422.04,32993.52,1,4253.34,315175.42,38234.02,33404.46,7799.74,38428.49,813247.12,2,2,1,2,9,low,7.713310880310036,0.05955220461985958,0.12131028453516367,0.22661043736656103,1,0,0,1
IND23640,Phillip Perez,36,18659,2018-04-02,Benjamin Kim,European,Accounting Assistant III,Low,Jade,39077.38,14707.68,2,1305.38,1187138.91,717787.7,144670.39,242934.97,11997.93,1231614.29,0,2,1,2,10,low,1.6538858332987791,0.033405002244137096,0.6046366548590033,0.03291727668759735,1,1,0,0
IND93407,Karen Morrison,84,18123,2010-04-16,Carl Nguyen,European,Dental Hygienist,High,Jade,274099.12,26051.76,2,2461.94,563101.95,0.0,0.0,0.0,4870.24,520918.49,3,2,2,2,11,mid,7.713310880310036,0.00898193321823896,0.0,0.4867664186089812,1,0,0,1
IND40136,John Cruz,26,27140,2019-09-25,Victor Martinez,European,Developer IV,Mid,Silver,260826.75,53468.1,3,270.6,804359.98,529324.3,295539.4,106261.85,46060.06,296849.18,0,3,2,1,12,mid,1.5195976804397646,0.001037470270831231,0.658068915042157,0.3242661944416153,1,0,0,0
IND76215,Joseph Thomas,74,18521,1999-01-07,Jeremy Vasquez,American,Engineer IV,Low,Platinum,334331.81,18591.75,2,1029.3,164253.29,641260.15,500709.98,396615.01,46006.43,1094810.02,1,3,3,2,13,high,0.2561414267577029,0.0030786780262438145,3.9040931606052265,2.035464908888797,0,0,0,0
IND93216,Anthony Green,47,40585,2012-02-11,Dennis Ruiz,Asian,Software Consultant,High,Jade,61398.26,20668.94,1,550.75,360003.87,277273.4,305000.74,109324.94,2850.73,118884.97,2,1,3,1,14,low,1.2983714582849581,0.008970123762951527,0.7701956071466799,0.1705488883479256,1,0,0,0
IND54572,Terry Hanson,82,4749,2007-04-11,Phillip Peters,European,Software Test Engineer II,High,Gold,63246.3,18575.7,1,2914.18,448652.7,537205.52,362849.34,93209.87,17124.28,237993.7,0,1,3,2,15,low,0.8351602551754116,0.046076686761491396,1.1973749824811597,0.14096939538986528,0,0,0,0
IND18649,Norma Perez,25,7639,2019-03-24,George Lewis,European,Accountant II,Mid,Platinum,158091.86,33824.44,3,1080.03,207662.76,177146.44,177146.44,70553.15,17133.59,235133.69,0,2,3,1,1,mid,1.1722660575495278,0.0068316609923391326,0.853048659985793,0.7612913323443676,1,0,0,0
IND51790,Ann Bradley,44,6517,2016-09-10,Dennis Morris,European,Software Engineer II,Mid,Jade,131729.85,6664.06,2,6215.34,863722.1,359436.79,161746.56,166059.8,41209.82,506592.1,2,2,3,1,2,mid,2.40298745600586,0.04718247195163077,0.4161486542764754,0.1525141591809285,1,0,0,0
IND17740,Daniel Morrison,38,38743,2011-06-18,Frank Brown,Asian,Health Coach IV,High,Gold,116926.94,18431.28,2,3828.2,1049088.92,463600.46,200893.53,58413.66,7382.34,1299697.25,1,2,3,2,3,mid,2.262916041405748,0.03274010221476674,0.4419076883950813,0.11145569995014752,1,0,0,0
IND49489,Keith Weaver,74,4567,1995-08-09,Nicholas Cunningham,American,Associate Professor,High,Gold,148224.72,27518.0,2,27.81,302048.92,73076.62,28675.63,52337.66,17272.56,456098.92,3,1,3,1,4,mid,4.133318096358067,0.00018762052518891232,0.24193637162504547,0.4907308376049455,1,0,0,0
IND50658,Patrick Richardson,35,36151,2021-08-24,Roger Alexander,Asian,Computer Systems Analyst I,Mid,Jade,348248.56,65026.0,1,3435.36,1369215.65,450525.37,124963.24,169226.54,6690.97,2698297.83,0,3,4,2,5,high,3.039153260028057,0.00986467823480827,0.3290390156371358,0.25434164424403005,1,0,0,0
IND14798,Beverly Griffin,74,21413,2014-09-24,Shawn Wallace,American,Health Coach I,High,Silver,19637.78,9527.23,2,78.14,24331.27,150917.77,83660.94,40993.86,17286.26,100054.72,0,1,4,1,6,low,0.16122203395119059,0.003979064640755491,6.202625830767327,0.8071004593224907,0,1,0,0
IND60926,Virginia Greene,62,7197,1995-12-13,Phillip Peters,American,Electrical Engineer,Mid,Jade,150304.49,7326.44,1,767.06,523866.09,363305.25,199374.83,224185.92,33854.22,607800.07,1,2,1,1,7,mid,1.4419447243276977,0.005103373790740558,0.6935078567625786,0.2869139510692246,1,0,0,0
IND57710,Antonio Ruiz,23,27256,2003-11-05,Ernest Rivera,European,Statistician I,Low,Jade,52109.13,14277.05,1,209.68,205552.05,329191.59,116949.64,88665.16,6681.62,1148304.5,1,1,2,1,8,low,0.6244146436899719,0.004023862919533239,1.6014999042748548,0.25350819778490075,0,0,0,0
IND71795,John Chapman,68,21290,2007-08-23,Keith Griffin,European,Programmer Analyst III,Mid,Platinum,156091.75,20609.04,3,382.87,707577.9,435466.02,112495.39,252896.89,35301.62,837133.63,2,1,3,1,9,mid,1.6248751128162076,0.002452852233043372,0.6154319112914183,0.22060009191835964,1,0,0,0
IND98220,Ruth Bishop,79,3957,2020-01-24,Joe Price,American,Human Resources Assistant II,High,Jade,338383.13,57267.05,1,3505.86,1565513.72,730384.02,497152.15,144603.76,74778.17,884890.55,1,4,4,1,10,high,2.143411787482136,0.01036062285267997,0.4665459077122966,0.21614830036995888,1,0,0,0
IND91662,Alice Chavez,29,39668,2019-02-21,Jerry Green,European,Assistant Professor,High,Silver,198553.59,20851.74,1,5581.31,414518.57,1144704.01,696263.26,570935.88,40208.75,1522411.23,3,4,1,2,11,mid,0.36211856166895184,0.02810984163968105,2.7615264793528396,0.4789980567601638,0,0,0,0
IND18901,Heather Palmer,52,374,2002-11-05,Stephen Payne,European,Accounting Assistant III,Mid,Silver,190119.93,47110.05,1,3525.21,527884.11,99616.37,122860.19,23741.9,6920.94,136723.47,1,2,1,1,12,mid,5.299170253853155,0.018542032818221463,0.18870878650105835,0.3601546741762038,1,0,0,1
IND49888,Louis Banks,68,31302,2003-01-26,Paul Larson,American,Administrative Assistant I,Mid,Jade,147956.79,52216.52,1,2977.86,701005.58,720211.85,302231.76,279467.92,23058.96,1504310.04,3,2,1,2,13,mid,0.9733324701984111,0.020126551676833814,1.027398168460516,0.21106364059033078,0,0,0,0
IND76081,Bobby Gordon,41,23190,2010-01-02,Nicholas Cunningham,Australian,Geologist IV,Mid,Gold,91071.75,33111.54,1,8062.65,677123.94,558283.3,298923.34,147703.3,7880.76,1554534.94,0,2,2,1,14,low,1.2128679808031726,0.08853074538997278,0.8244920408153167,0.13449790279974755,1,0,0,0
IND93705,Randy Gardner,70,18488,2020-10-28,Paul Holmes,American,Help Desk Operator,Mid,Gold,96545.37,23191.74,1,3386.45,1104753.03,1268890.97,630243.86,252097.54,39556.05,1941061.87,3,2,2,1,15,low,0.870644566986993,0.03507625445864204,1.148574327830923,0.08739090755207894,0,0,0,0
IND52847,Eric Burke,32,8566,2015-06-19,Samuel Fowler,Asian,Assistant Media Planner,High,Jade,63765.0,11354.0,1,2644.75,1012372.67,1568405.32,541210.29,478805.43,62053.29,1665045.85,3,2,3,2,16,low,0.6454789820239332,0.0414765146792674,1.5492371188277563,0.06298569867261855,0,0,0,0
IND24592,Martin Shaw,47,10123,2007-09-18,Carl Nguyen,American,Technical Writer,Mid,Jade,191715.4,31923.72,1,1296.45,402401.84,269460.7,316098.13,121257.32,19337.29,673780.44,0,2,3,1,17,mid,1.4933600280361476,0.006762367515794937,0.6696308827274973,0.4764277407965437,1,0,0,0
IND31656,Phillip Hansen,83,633,2012-01-28,Dennis Ruiz,Asian,Human Resources Assistant I,Mid,Silver,218312.27,21480.88,2,5886.56,1714321.78,1099352.83,389770.55,402363.14,30773.91,735797.5,1,5,3,1,18,mid,1.5593917909326782,0.026963944688203078,0.6412756590881815,0.1273461449417354,1,0,0,0
IND85060,Randy Wheeler,24,8325,2006-02-15,Roger Alexander,European,Software Consultant,High,Platinum,157167.47,31498.25,1,1909.3,597244.53,262988.54,128881.8,51169.56,42714.8,836453.63,3,1,3,1,19,mid,2.270990696891239,0.012148188094214482,0.4403364557556743,0.2631543058868127,1,0,0,0
